artist,date,time,city,title,type
蔡尧,2019-09-29,19:30,深圳,爱我中华文艺晚会,concert
马佳,2019-05-28,19:30,南京,声入人心巡演,concert
马佳,2019-04-14,19:30,北京,北京国际电影节电影交响音乐会,concert
刘彬濠,2019-11-24,19:30,上海,帅小伙的蔬果店,stage
高天鹤,2019-04-26,19:30,青岛,声入人心巡演,concert
陆宇鹏,2019-11-07,19:30,北京,音乐之声,stage
丁辉,2019-03-03,14:30,上海,暗恋桃花源,stage
金天泽,2019-12-14,19:30,宁波,宣言,concert
李向哲,2019-11-23,14:00,武汉,国风音乐盛典,concert
翟李朔天,2019-08-09,19:30,厦门,中孝介演唱会,concert
郑云龙,2019-05-18,19:30,青岛,信,stage
王凯,2019-08-24,19:30,长春,声动春城,concert
方书剑,2019-11-02,19:30,武汉,我的遗愿清单,stage
陈博豪,2019-07-21,19:30,北京,你眼里的蓝,concert
方书剑,2019-04-26,19:30,上海,信,stage
丁辉,2019-07-14,14:30,上海,宝岛一村,stage
丁辉,2019-03-08,19:30,上海,暗恋桃花源,stage
郑云龙,2019-05-19,14:30,青岛,信,stage
蔡程昱,2019-05-03,19:30,成都,保利ART音乐节,concert
简弘亦,2019-10-31,19:30,广州,亦X不染,concert
郑云龙,2019-07-04,19:30,深圳,我们剧场见(GALA),concert
洪之光,2019-11-22,20:00,海口,海南国际旅游岛欢乐节,concert
龚子棋,2019-12-21,19:00,杭州,如响应声,concert
郑云龙,2019-09-22,19:30,上海,德龄与慈禧,stage
高杨,2019-07-20,14:00,深圳,长腿叔叔,stage
李文豹,2019-09-27,19:30,北京,亦X不染,concert
